"title","content","date","variant","images","verified","author","rating","product","url"
"Di disreta qualità, prezzo ok, piccolo difetto sul ferretto naso","Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima","Recensito in Italia il 17 luglio 2020","","","Yes","Fabio D","4","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"ferretto nasale in plastica","Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente","Recensito in Italia il 7 luglio 2020","","","Yes","Luca","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Pessimo","La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.","Recensito in Italia il 7 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/71+ry1MRHkL._SY88.jpg","Yes","Valeria M.","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"SPEDIZIONE ERRATA","Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""","Recensito in Italia il 14 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/51K4e7fdoLL._SY88.jpg","Yes","zani","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"ARRIVATO APERTO PESSIMO PRODOTTO","ARRIVATO APERTO PESSIMO PRODOTTO","Recensito in Italia il 10 luglio 2020","","","Yes","Cliente Amazon","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Di disreta qualità, prezzo ok, piccolo difetto sul ferretto naso","Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima","Recensito in Italia il 17 luglio 2020","","","Yes","Fabio D","4","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"ferretto nasale in plastica","Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente","Recensito in Italia il 7 luglio 2020","","","Yes","Luca","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Pessimo","La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.","Recensito in Italia il 7 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/71+ry1MRHkL._SY88.jpg","Yes","Valeria M.","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"SPEDIZIONE ERRATA","Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""","Recensito in Italia il 14 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/51K4e7fdoLL._SY88.jpg","Yes","zani","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"ARRIVATO APERTO PESSIMO PRODOTTO","ARRIVATO APERTO PESSIMO PRODOTTO","Recensito in Italia il 10 luglio 2020","","","Yes","Cliente Amazon","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
