,content,rating
0,"Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima",4
1,"Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente",1
2,"La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.",1
3,"Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""",1
4,ARRIVATO APERTO PESSIMO PRODOTTO,1
5,"Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima",4
6,"Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente",1
7,"La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.",1
8,"Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""",1
9,ARRIVATO APERTO PESSIMO PRODOTTO,1
10,"Il prodotto sembrerebbe anche buono perché è dotato di ferretto per il naso, tiene bene coperto, se si soffia non esce l'aria, gli elastici sono morbidi ed è anche impermeabile. Però non sono tanto soddisfatto perché il prodotto non rispecchia quello proposto nelle foto. Non arriva in una scatola di cartone ma in una plastica nera che contiene un'ulteriore plastica trasparente. Ma la cosa che mi lascia alquanto perplesso è la mancanza del marchio CE che rende il prodotto poco sicuro anche se sono presenti delle certificazioni cinesi. Proverò a contattare il servizio clienti visto che quando le ho prese io erano vendute e spedite direttamente da Amazon.",3
